Gene,exprs
VPS72,-0.019838339
BTK,-0.064334176
TCTA,-0.087563922
DYNLT3,1.352598487
BUB1B,1.072030203
TERT,0.116650558
TESK1,-0.102761769
TFAP2A,-1.516521886
TFDP1,0.309628159
TGFB3,-0.18279743
TGFBR2,-0.193945406
TIAM1,0.634227859
TIMP2,-0.109796715
TJP1,-0.41339339
TLE1,-0.219009046
TLR4,-0.271652194
TSPAN6,-0.170017686
TSPAN4,0.055131911
TOP2A,0.036776873
TP53,-1.130765152
TP53BP1,0.562142774
TP53BP2,-0.343051009
TPD52L2,-0.598270543
TPM1,0.023240507
C5,0.00543907
TXNRD1,0.447571346
UBE2A,0.858399136
UGDH,-0.089088743
NR1H2,-0.423848602
USP1,-0.090804943
VDAC1,1.648223769
WFS1,-0.541731744
XBP1,0.228561739
XPNPEP1,0.097698091
ZFP36,-0.569788861
ZNF131,0.66673657
ZMYM2,0.541812011
DDR1,-0.67634015
PAX8,-0.139471946
CXCR4,-0.131166035
IFRD2,0.018869228
MAPKAPK3,-0.255844941
USP7,0.540245415
METRN,-0.327098721
REEP5,0.626299708
ELOVL6,0.982536219
TMEM109,-0.30401065
CCDC86,-0.210232076
TRAPPC6A,0.336354853
CHAC1,0.289184202
MBOAT7,-0.239965154
PRR15L,0.272457675
CRELD2,0.295755827
FSD1,0.099440791
TCTN1,-1.420314297
CHMP6,0.21566483
NPEPL1,-0.162243222
ST7,-0.092305267
NUP85,0.507046264
TCEAL4,1.150079024
KAT6A,0.109266955
DHDDS,0.4613285
DENND2D,0.021799253
FBXO11,0.266246247
CCDC92,0.099330624
COASY,-0.112476944
PDHX,1.321304534
FOSL1,-0.29757265
TSEN2,0.588955167
PRR7,-0.063898612
CALM3,1.276579606
HMGA2,-0.462374592
CALU,0.419611107
ITFG1,1.196334179
GDPD5,-0.298389429
NCOA3,0.195656427
NRIP1,0.797356293
CAPN1,-0.166815252
SMC1A,0.229700433
LAGE3,0.362166784
CAST,0.275938644
AXIN1,-0.535003462
CDC45,0.02244124
FZD1,-0.561779724
FZD7,-0.573371128
CASP2,-0.040044247
CASP3,-0.381353025
GRWD1,-0.309689213
PIP4K2B,-0.465061202
CASP7,-0.488311995
ARID5B,0.399863306
CASP10,-0.045146261
NCK2,1.212147975
DYRK3,-0.243077161
DUSP11,-0.132209063
TUBB6,-0.688182695
CAT,0.08079229
PSRC1,0.269076753
RAE1,0.597215192
ADO,1.124774331
PIK3R3,-0.202515779
NIPSNAP1,1.492443002
HAT1,0.250808176
MICALL1,0.344514995
MAPKAPK5,0.522104397
BHLHE40,0.205541955
MKNK1,-0.013477264
CASK,0.55812742
AKR7A2,-0.037216392
RUVBL1,1.396888781
PSMG1,0.794329609
BECN1,1.059970881
CBLB,-0.058756677
MBTPS1,-0.256876896
EED,0.000695864
CTNNAL1,0.212784395
CBR1,0.526798925
RNMT,0.677761427
CBR3,0.33565376
PEX11A,-0.007799571
CREG1,0.208204778
INPP4B,0.427692086
IQGAP1,-0.444070931
SOCS2,0.138991841
CFLAR,-0.286570624
CDK5R1,1.212497024
ST3GAL5,0.04675151
IER3,-0.83197793
SQSTM1,-0.142276869
SLC5A6,0.127772351
CPNE3,0.012420847
CCNA2,0.079923776
CCNA1,1.173032171
CCNB1,1.664425272
TIMELESS,-0.106942453
CCND3,-0.071490264
P4HA2,-0.392284597
PLOD3,-0.310116881
CCNF,-0.099564339
UBE3B,-0.096683724
NOL3,0.414331819
SLC25A14,0.637565175
MPZL1,-0.898755316
CCNH,0.875589917
MAP7,1.085708962
DNAJA3,1.06237224
USP14,0.717449398
MTA1,-0.464577953
SLC25A46,1.069421176
PDLIM1,-1.068710825
SMC3,-0.368938733
PRPF4,0.39324691
CCNB2,-0.162534309
CCNE2,0.765585668
SYNGR3,0.76516234
LPAR2,0.121560944
ARHGEF2,0.118095611
ZW10,0.923843837
COG7,-0.274603495
AURKB,0.23734623
VAPB,-0.030168413
NOLC1,1.339684011
UBE2L6,-0.090626804
MAPKAPK2,-0.783700092
CYTH1,0.066187759
ITGB1BP1,0.740446427
BCL7B,-0.273861169
COPB2,0.49025866
ADGRG1,-0.580103596
MAPK1IP1L,0.394306147
TBC1D31,0.132405493
TM9SF2,0.971974688
MAP4K4,0.43657859
HOMER2,0.263277958
SH3BP5,0.945670937
PIGB,0.699164475
SCARB1,0.015194558
PSMF1,0.266003376
SPTLC2,0.698996888
TBPL1,1.327920098
BAG3,-0.666606446
POLR1C,0.630805862
SPAG7,0.523276253
CD40,-0.17008705
CD44,0.79986936
FEZ2,0.336397105
IKBKE,-0.12565849
CD58,-0.074966591
MTFR1,0.05087511
HS2ST1,0.193087807
IPO13,-0.093236967
VGLL4,0.466674747
NUP93,0.901534881
UBE3C,-0.099398255
EDEM1,0.501289984
TRAM2,-0.401098606
CEP57,0.366827594
HERPUD1,-0.098987646
USP6NL,0.367068098
CCP110,-0.10871853
ADGRE5,0.39647588
MLEC,-0.258978184
TATDN2,0.192348047
MRPL19,0.823008833
SCRN1,0.403295838
EFCAB14,-0.335936657
KEAP1,0.444842403
CDK1,1.400425278
MELK,0.487327942
PLEKHM1,0.016668987
C2CD5,0.298132151
KIAA0753,0.363777509
C2CD2L,0.503282704
KLHL21,-0.288582659
CDC20,-0.053118451
ARNT2,1.064023707
FAM20B,0.332589626
NCAPD2,-0.003150819
PAN2,-0.163610502
LPGAT1,0.590687559
KIF14,-0.044827655
CDC25A,-0.013687793
CDC25B,-0.324866373
OXSR1,-0.032790534
MVP,-0.247990336
CDC42,2.680318364
DMTF1,0.361243162
